ListNum,WordToDisplay,WavFileNameSansExtension
27,sun ,sun 
28,ring ,ring 
28,reach ,reach 
28,clean ,clean 
28,rich ,rich 
28,mean ,mean 
28,bean ,bean 
28,teach ,teach 
28,beach ,beach 
28,beat ,beat 
28,cling ,cling 
28,beam ,beam 
28,preach ,preach 
29,fox ,fox 
29,sock ,sock 
29,box ,box 
29,block ,block 
29,luck ,luck 
29,clock ,clock 
29,suck ,suck 
29,rock ,rock 
29,stuck ,stuck 
29,boss ,boss 
29,loss ,loss 
29,cross ,cross 
30,shirt ,shirt 
30,skirt ,skirt 
30,dirt ,dirt 
30,ward ,ward 
30,burst ,burst 
30,shore ,shore 
30,sword ,sword 
30,burn ,burn 
30,first ,first 
30,born ,born 
30,war ,war 
30,score ,score 
31,limb ,limb 
31,ship ,ship 
31,sheep ,sheep 
31,lip ,lip 
31,shed ,shed 
31,leap ,leap 
31,dead ,dead 
31,breed ,breed 
31,bread ,bread 
31,leave ,leave 
31,breeze ,breeze 
31,creep ,creep 
32,wheel ,wheel 
32,seal ,seal 
32,seed ,seed 
32,weep ,weep 
32,scene ,scene 
32,speak ,speak 
32,steam ,steam 
32,speed ,speed 
32,steal ,steal 
32,lean ,lean 
32,wheat ,wheat 
32,weak ,weak 
33,straw ,straw 
33,draw ,draw 
33,law ,law 
33,soul ,soul 
33,saw ,saw 
33,goal ,goal 
33,gold ,gold 
33,fold ,fold 
33,sold ,sold 
33,told ,told 
33,go ,go 
33,bold ,bold 
34,short ,short 
34,sport ,sport 
34,sort ,sort 
34,fork ,fork 
34,storm ,storm 
34,warm ,warm 
34,form ,form 
34,horn ,horn 
34,store ,store 
34,port ,port 
34,force ,force 
34,corn ,corn 
35,stare ,stare 
35,care ,care 
35,cheer ,cheer 
35,dear ,dear 
35,pier ,pier 
35,fear ,fear 
35,wear ,wear 
35,sheer ,sheer 
35,clear ,clear 
35,hear ,hear 
35,gear ,gear 
35,fair ,fair 
36,wake ,wake 
36,wait ,wait 
36,straight,straight
36,grade ,grade 
36,came ,came 
36,pain ,pain 
36,wage ,wage 
36,grain ,grain 
36,game  ,game  
36,great ,great 
36,gate ,gate 
36,gain ,gain 
37,cave ,cave 
37,tape ,tape 
37,brave ,brave 
37,page ,page 
37,pace ,pace 
37,race ,race 
37,cage ,cage 
37,waste ,waste 
37,taste ,taste 
37,rage ,rage 
37,wave ,wave 
37,take ,take 
38,play ,play 
38,faint ,faint 
38,shade ,shade 
38,shape ,shape 
38,paint ,paint 
38,say ,say 
38,fame ,fame 
38,trade ,trade 
38,shame ,shame 
38,saint ,saint 
38,grey ,grey 
38,frame ,frame 
39,tore ,tore 
39,host ,host 
39,four ,four 
39,boast ,boast 
39,court ,court 
39,coast ,coast 
39,post ,post 
39,pose ,pose 
39,core ,core 
39,door ,door 
39,floor ,floor 
39,poor ,poor 
40,screen ,screen 
40,scream,scream
40,stream ,stream 
40,street ,street 
40,deem ,deem 
40,deal ,deal 
40,green ,green 
40,gene ,gene 
40,greet ,greet 
40,seen ,seen 
40,meal ,meal 
40,cream ,cream 
41,rain ,rain 
41,strain ,strain 
41,man ,man 
41,strange ,strange 
41,ram ,ram 
41,brain ,brain 
41,vein ,vein 
41,van ,van 
41,ran ,ran 
41,train ,train 
41,plane ,plane 
41,plan ,plan 
42,test ,test 
42,rest ,rest 
42,best ,best 
42,text ,text 
42,red ,red 
42,bed ,bed 
42,nest ,nest 
42,tent ,tent 
42,rent ,rent 
42,neck ,neck 
42,chest ,chest 
42,check ,check 
43,firm ,firm 
43,learn ,learn 
43,earn ,earn 
43,earth ,earth 
43,herb ,herb 
43,worm ,worm 
43,birth ,birth 
43,term ,term 
43,worth ,worth 
43,bird ,bird 
43,word ,word 
43,work ,work 
44,foot ,foot 
44,fool ,fool 
44,took ,took 
44,pull ,pull 
44,bull ,bull 
44,cook ,cook 
44,wool ,wool 
44,wolf ,wolf 
44,full ,full 
44,wood ,wood 
44,book ,book 
44,bush ,bush 
45,dog ,dog 
45,dot ,dot 
45,fog ,fog 
45,log ,log 
45,shot ,shot 
45,lost ,lost 
45,dock ,dock 
45,knock ,knock 
45,shock ,shock 
45,stock ,stock 
45,knot ,knot 
45,lock ,lock 
46,rat ,rat 
46,tap ,tap 
46,sack ,sack 
46,hat ,hat 
46,sand ,sand 
46,scrap ,scrap 
46,can ,can 
46,cat ,cat 
46,brand ,brand 
46,hand ,hand 
46,wrap ,wrap 
46,sad ,sad 
47,king ,king 
47,team ,team 
47,sing ,sing 
